OBJECTID,PercentagePopOverRegion,PercentagePopAge15to19,PercentagePopAge20to24,PercentagePopAge25to29,PercentagePopAge30to34,PercentagePopAge35to39,PercentagePopAge40to44,PercentagePopAge45to49,PercentagePopAge50to54,PercentagePopAge55to59,PercentagePopAge60to64,PercentageWhiteOnly,PercentageBlackOnly,PercentageAmerIndianOnly,PercentageAsianOnly,PercentagePacIslandOnly,PercentageOther,PercentagePlus2Races,PercentageHispanic,PercentageNonHispanic,PercentageUnknown,PercentageLow,PercentageHighSchoolOrCollege,PercentageBachelors,PercentageGraduate,Households2020IncomeMedian
162,0.048979345331561785,0.013563501849568433,0.12412659268392931,0.17961364570489108,0.12371557747636662,0.08919030004110153,0.10521989313604603,0.10645293875873407,0.08096999588984792,0.09905466502260583,0.07809288943690916,0.24182509505703423,0.6532319391634981,0.0019011406844106464,0.0650190114068441,0.0007604562737642585,0.009125475285171103,0.028136882129277566,0.03650190114068441,0.9634980988593156,0.13769009453349773,0.1808466913275791,0.11344019728729964,0.20715166461159062,0.36087135224003286,76747
174,0.07599549059870354,0.036556291390728475,0.1332450331125828,0.24158940397350995,0.17112582781456953,0.10596026490066225,0.07390728476821191,0.06913907284768211,0.06701986754966888,0.055894039735099335,0.04556291390728477,0.2905652267354395,0.5781216419514292,0.0012894906511927789,0.02041693531055233,0.0,0.06361487212551042,0.04599183322587578,0.09004943047496239,0.9099505695250376,0.16980132450331126,0.11470198675496689,0.04529801324503311,0.3449006622516556,0.3252980132450331,77805
188,0.05073076458509482,0.04007936507936508,0.13214285714285715,0.12896825396825398,0.12222222222222222,0.11071428571428571,0.09206349206349207,0.11785714285714285,0.11984126984126985,0.08968253968253968,0.04642857142857143,0.1883245382585752,0.7100923482849604,0.002308707124010554,0.06233509234828496,0.0006596306068601583,0.010224274406332454,0.026055408970976253,0.024406332453825858,0.9755936675461742,0.17222222222222222,0.3325396825396825,0.1984126984126984,0.13253968253968254,0.16428571428571428,53878
201,0.01576277328179732,0.03959131545338442,0.08045977011494253,0.10089399744572158,0.17369093231162197,0.17624521072796934,0.11494252873563218,0.0842911877394636,0.05108556832694764,0.10344827586206896,0.07535121328224777,0.6033300685602351,0.31341821743388837,0.0019588638589618022,0.04407443682664055,0.0,0.0068560235063663075,0.030362389813907934,0.02840352595494613,0.9715964740450539,0.12005108556832694,0.10472541507024266,0.021711366538952746,0.4623243933588761,0.29118773946360155,127062
208,0.014715947980835045,0.012311901504787962,0.03283173734610123,0.17783857729138167,0.18057455540355677,0.10259917920656635,0.09712722298221614,0.12995896032831739,0.13953488372093023,0.08207934336525308,0.04514363885088919,0.29214929214929214,0.5971685971685972,0.006435006435006435,0.0489060489060489,0.0,0.01673101673101673,0.03861003861003861,0.06435006435006435,0.9356499356499357,0.04514363885088919,0.3447332421340629,0.11901504787961696,0.3146374829001368,0.17647058823529413,39646
211,0.019849418206707735,0.10243407707910751,0.1075050709939148,0.12271805273833672,0.11866125760649088,0.11967545638945233,0.09634888438133875,0.09026369168356999,0.06997971602434078,0.0872210953346856,0.08519269776876268,0.014184397163120567,0.9709864603481625,0.0,0.0019342359767891683,0.0,0.0025789813023855577,0.010315925209542231,0.012250161186331399,0.9877498388136686,0.2099391480730223,0.3235294117647059,0.2778904665314402,0.13995943204868155,0.0486815415821501,21032
244,0.05699158513508073,0.054044507241257506,0.07559166372306605,0.1020840692334864,0.15153655951960437,0.14977039915224302,0.11903920876015542,0.1095019427764041,0.09855174849876369,0.07806428823737195,0.06181561285764747,0.6348211955103106,0.2751239885147481,0.00548159749412686,0.03027930044374837,0.0,0.017749934742886976,0.036543983294179065,0.060297572435395456,0.9397024275646045,0.12963617096432356,0.02190038855528082,0.08583539385376192,0.3998587071706111,0.36276933945602263,85633
258,0.04265813101421267,0.015101462954223691,0.09721566776781501,0.2345445965077867,0.24587069372345446,0.17838603114676735,0.08636149126946673,0.05002359603586597,0.03728173666823974,0.03350637092968381,0.021708352996696555,0.6911519198664441,0.2328881469115192,0.002921535893155259,0.03213689482470785,0.0,0.007512520868113523,0.0333889816360601,0.04048414023372287,0.9595158597662772,0.1123171307220387,0.15762151958470977,0.09815950920245399,0.30533270410571023,0.32656913638508733,61374
260,0.03794741715988243,0.2026525198938992,0.2535809018567639,0.13209549071618037,0.10822281167108753,0.07161803713527852,0.06206896551724138,0.04403183023872679,0.04084880636604774,0.04297082228116711,0.04190981432360743,0.33239962651727356,0.5410830999066293,0.0014005602240896359,0.0765639589169001,0.00046685340802987864,0.007469654528478058,0.04061624649859944,0.03968253968253968,0.9603174603174603,0.4562334217506631,0.16976127320954906,0.11405835543766578,0.14111405835543767,0.11883289124668435,27197
268,0.08469219309900551,0.47135726170667935,0.4414071785120038,0.01972902305681008,0.016401236035179463,0.00879486570002377,0.0066555740432612314,0.011409555502733539,0.0071309721892084624,0.010696458283812693,0.0064178749702876155,0.00559310184106269,0.9666744348636681,0.0013982754602656724,0.002796550920531345,0.0,0.002563505010487066,0.020974131903985085,0.03099510603588907,0.9690048939641109,0.9127644402186832,0.030187782267649156,0.020442120275730925,0.016876634181126695,0.01972902305681008,22551
274,0.03430365986230221,0.03345070422535211,0.125,0.1396713615023474,0.14084507042253522,0.12147887323943662,0.11502347417840375,0.1267605633802817,0.11091549295774648,0.06279342723004695,0.024061032863849766,0.2679479932165065,0.6483889202939513,0.00395703787450537,0.03617863199547767,0.0005652911249293386,0.01582815149802148,0.027133973996608253,0.07631430186546072,0.9236856981345393,0.15845070422535212,0.4113849765258216,0.18955399061032863,0.1396713615023474,0.10093896713615023,86783
381,0.02856625196279744,0.07470049330514447,0.07963354474982381,0.10570824524312897,0.08879492600422834,0.1014799154334038,0.10570824524312897,0.11839323467230443,0.09584214235377025,0.12332628611698379,0.10641296687808316,0.0547536087605774,0.9133897461423593,0.0009955201592832255,0.008959681433549029,0.0014932802389248383,0.0054753608760577405,0.014932802389248382,0.023892483822797413,0.9761075161772026,0.1543340380549683,0.3643410852713178,0.226215644820296,0.17547568710359407,0.07963354474982381,23183
383,0.019809155695132263,0.0741869918699187,0.11991869918699187,0.12296747967479675,0.09552845528455285,0.1016260162601626,0.12296747967479675,0.12398373983739837,0.07215447154471545,0.07621951219512195,0.09044715447154472,0.07217939733707078,0.8009810791871058,0.0,0.0889978976874562,0.0,0.01751927119831815,0.020322354590049056,0.02803083391730904,0.9719691660826909,0.19410569105691056,0.25609756097560976,0.2764227642276423,0.17073170731707318,0.10264227642276423,34080
